architecture,family,trial,latency_ms,batch_size,input_shape
bottleneck_residual,bottleneck_cnn,17,3.427125,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,18,3.5515,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,19,3.450625,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,20,3.412709,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,21,3.427042,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,22,3.417708,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,23,3.421125,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,24,3.510083,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,25,3.440292,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,26,3.364666,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,27,3.491459,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,28,3.621833,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,29,3.499834,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,30,3.403333,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,1,1.82775,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,2,1.865958,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,3,1.870833,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,4,1.838791,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,5,1.84325,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,6,1.856125,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,7,1.807208,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,8,1.7875,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,9,1.884375,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,10,1.84625,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,11,1.867625,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,12,1.81225,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,13,1.810209,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,14,1.866417,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,15,1.866292,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,16,1.848417,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,17,1.811041,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,18,1.823667,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,19,1.81525,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,20,1.807083,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,21,1.710083,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,22,1.701333,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,23,1.706208,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,24,1.811709,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,25,1.96525,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,26,1.794708,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,27,1.810041,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,28,1.838917,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,29,1.8595,1,1x3x224x224
grouped_conv_cnn,grouped_cnn,30,1.7955,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,1,3.094125,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,2,3.119542,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,3,3.132792,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,4,3.253041,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,5,3.220959,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,6,3.117208,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,7,3.073208,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,8,3.0425,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,9,3.096417,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,10,3.074625,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,11,3.142584,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,12,3.080167,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,13,3.065042,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,14,3.196208,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,15,3.155958,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,16,3.065709,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,17,3.077209,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,18,3.0895,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,19,3.067834,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,20,3.099542,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,21,3.063125,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,22,3.115625,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,23,3.06225,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,24,3.138792,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,25,3.255083,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,26,3.282083,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,27,3.076875,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,28,3.111,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,29,3.039,1,1x3x224x224
squeeze_expand_cnn,squeeze_cnn,30,3.044958,1,1x3x224x224
convnext_micro,convnext_like,1,7.485875,1,1x3x224x224
convnext_micro,convnext_like,2,7.586875,1,1x3x224x224
convnext_micro,convnext_like,3,7.590541,1,1x3x224x224
convnext_micro,convnext_like,4,7.384875,1,1x3x224x224
convnext_micro,convnext_like,5,7.815625,1,1x3x224x224
convnext_micro,convnext_like,6,7.664708,1,1x3x224x224
convnext_micro,convnext_like,7,7.488542,1,1x3x224x224
convnext_micro,convnext_like,8,7.644833,1,1x3x224x224
convnext_micro,convnext_like,9,7.51275,1,1x3x224x224
convnext_micro,convnext_like,10,7.603084,1,1x3x224x224
convnext_micro,convnext_like,11,7.671833,1,1x3x224x224
convnext_micro,convnext_like,12,7.303792,1,1x3x224x224
convnext_micro,convnext_like,13,7.526292,1,1x3x224x224
